metric,score
Exact Match,0.0
Fuzzy Match,0.48225762454404664
Corpus BLEU,0.012807811466506964
ROUGE-1,0.14604143542187029
ROUGE-2,0.04005281928320032
ROUGE-L,0.12203707096146324
Token F1,0.14604143542187029
BERT Precision,0.6462653279304504
BERT Recall,0.6974596977233887
BERT F1,0.6700181365013123
