metric,score
Exact Match,0.3548387096774194
Fuzzy Match,0.9079252456426993
Corpus BLEU,0.4775624921028849
ROUGE-1,0.6870302015236734
ROUGE-2,0.6161931754489774
ROUGE-L,0.67340793199389
Token F1,0.6870302015236734
BERT Precision,0.9123818874359131
BERT Recall,0.8691045641899109
BERT F1,0.8881903290748596
Truncated Outputs,0.0
