metric,score
Exact Match,0.008064516129032258
Fuzzy Match,0.7624816828193244
Corpus BLEU,0.22055915019682512
ROUGE-1,0.45356555405750815
ROUGE-2,0.3510785690665046
ROUGE-L,0.42211555432942466
Token F1,0.45356555405750815
BERT Precision,0.7689584493637085
BERT Recall,0.8135520219802856
BERT F1,0.7886065244674683
Truncated Outputs,42.0
