model,setting,scope,domain,count,metric,score
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,passport,63,BERT Precision,0.8213499188423157
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,passport,63,BERT Recall,0.7863858938217163
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,passport,63,BERT F1,0.8012636303901672
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,Normalized Exact Match,0.0
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,Token F1,0.35345671482547764
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,Fuzzy Match,0.6373279406950056
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,Corpus BLEU,0.12454832280584706
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,ROUGE-1 F1,0.35345671482547764
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,ROUGE-2 F1,0.17729890499347234
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,ROUGE-L F1,0.31742741483883324
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,METEOR,0.31276414782435374
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,BERT Precision,0.791016161441803
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,BERT Recall,0.7791568636894226
Qwen2.5-7B-Instruct + LoRA,Hybrid RAG + reranking + fine-tuned,domain,tin,48,BERT F1,0.7832560539245605
