metric,score
Exact Match,0.0
Fuzzy Match,0.4908288265386258
Corpus BLEU,0.013451947324177782
ROUGE-1,0.12689813064505887
ROUGE-2,0.03638362142359185
ROUGE-L,0.10569482207665208
Token F1,0.12689813064505887
BERT Precision,0.6313296556472778
BERT Recall,0.6972702741622925
BERT F1,0.6618912220001221
